Census Tract,Birth Rate per 1000,Marriage Rate per 1000
01001020100,119.77715877437325,596.6503838101884
01001020200,32.83582089552239,316.81415929203536
01001020300,16.414141414141415,457.20555961960497
01001020400,26.281208935611037,624.4305239179955
01001020501,57.31922398589065,608.3493545729195
01001020502,63.98348813209494,499.001996007984
01001020503,21.93419740777667,452.6551503518874
01001020600,16.563146997929607,533.4685598377282
01001020700,109.27152317880795,420.8268330733229
01001020801,83.2072617246596,662.8571428571428
01001020803,56.074766355140184,618.1445412608919
01001020804,33.0739299610895,638.1657511344638
01001020805,169.87951807228916,643.3463796477496
01001020901,34.129692832764505,549.469964664311
01001020902,0.0,528.9945765540258
01001021000,54.39330543933055,561.4859094790777
01001021100,72.5,363.3811603243918
01003010100,36.19909502262444,573.381060852587
01003010200,20.437956204379564,541.3070283600493
01003010300,33.88946819603754,536.3521305020391
01003010400,58.70236869207003,571.9077568134172
01003010500,93.12839059674504,548.9769264257728
01003010600,54.10628019323672,382.86109191430546
01003010704,15.097690941385435,550.1210653753027
01003010706,73.83773928896991,587.4413145539907
01003010707,60.43956043956044,560.796645702306
01003010708,37.300922045264045,605.6962025316456
01003010709,18.71440195280716,692.8311057108141
01003010710,153.73021853805577,588.7714936813755
01003010711,8.138351983723295,487.9269729093051
01003010800,82.25806451612904,636.0744393192301
01003010903,92.98440979955457,531.8745692625774
01003010904,9.00900900900901,602.0908199934662
01003010906,18.756169792694966,532.8125
01003010907,9.871668311944719,684.2243186582809
01003010908,0.0,509.6506230149035
01003011000,77.54442649434571,579.0934320074006
01003011102,28.74132804757185,565.702479338843
01003011103,23.97743300423131,684.872558755379
01003011104,44.50095359186268,631.6402997502082
01003011201,35.48795944233207,584.4665271966527
01003011202,4.444444444444445,631.8829418559877
01003011300,0.0,693.5317214300475
01003011409,0.0,684.0990895617193
01003011410,48.95104895104895,570.2052266351691
01003011411,85.03401360544217,668.5546465282148
01003011412,0.0,403.62811791383217
01003011413,0.0,467.33403582718654
01003011414,0.0,633.4405144694533
01003011415,0.0,735.7630979498862
01003011416,76.36363636363637,554.6064673581452
01003011417,0.0,649.2610837438424
01003011418,0.0,468.3076923076923
01003011419,0.0,597.3786606594307
01003011501,58.51063829787234,572.3049956178791
01003011503,45.05582137161084,404.12811387900354
01003011504,15.349194167306216,669.6782374385798
01003011601,36.43724696356275,470.00582411182296
01003011603,68.4931506849315,574.8007357449417
01003011604,48.165137614678905,650.5396352809825
01005950100,0.0,479.4871794871795
01005950200,49.382716049382715,267.728834739144
01005950300,145.3900709219858,552.7896995708155
01005950400,60.46511627906977,353.872244205766
01005950500,0.0,520.9846650524617
01005950600,0.0,425.8474576271186
01005950700,48.517520215633425,411.39240506329116
01005950800,151.02974828375287,394.6652150244965
01005950900,74.76635514018692,375.2711496746204
01007010001,60.20942408376963,479.3388429752066
01007010005,9.140767824497258,489.14769719428267
01007010006,0.0,505.7471264367817
01007010007,61.930783242258656,409.29994890137965
01007010008,312.93706293706293,622.2318714719931
01007010009,0.0,264.81257557436516
01007010010,92.64305177111716,439.98344370860923
01007010011,253.88601036269432,477.7618364418939
01009050103,16.908212560386474,531.9526627218935
01009050104,85.30805687203792,566.5289256198347
